@relation SegmentationTrain-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute region_centroid_col {BRICKFACE,SKY,FOLIAGE,CEMENT,WINDOW,PATH,GRASS}
@attribute region_centroid_row numeric
@attribute region_pixel_count numeric
@attribute short_line_density_5 numeric
@attribute short_line_density_2 numeric
@attribute vedge_mean numeric
@attribute vegde_sd numeric
@attribute hedge_mean numeric
@attribute hedge_sd numeric
@attribute intensity_mean numeric
@attribute rawred_mean numeric
@attribute rawblue_mean numeric
@attribute rawgreen_mean numeric
@attribute exred_mean numeric
@attribute exblue_mean numeric
@attribute exgreen_mean numeric
@attribute value_mean numeric
@attribute saturatoin_mean numeric
@attribute hue_mean numeric

@data
BRICKFACE,0.553785,0.476987,0,0,0,0.010893,0.00011,0.014907,0.000224,0.043119,0.053571,0.05081,0.024942,0.95679,0.159548,0.432203,0.051546,0.545635
BRICKFACE,0.74502,0.51046,0,0,0,0.013072,0.000465,0.01118,0.000056,0.046476,0.060877,0.051546,0.02728,0.985597,0.146985,0.423729,0.055965,0.53858
BRICKFACE,0.414343,0.535565,0,0,0,0.010893,0.000187,0.018634,0.000377,0.042603,0.055195,0.047865,0.024942,0.973251,0.146985,0.436441,0.050074,0.532628
BRICKFACE,0.131474,0.527197,0,0,0,0.019608,0.000291,0.024845,0.000342,0.040795,0.056818,0.04271,0.023383,1,0.129397,0.438559,0.051546,0.573633
BRICKFACE,0.151394,0.41841,0,0,0,0.028322,0.000653,0.019876,0.00031,0.042086,0.051136,0.05081,0.024162,0.946502,0.164573,0.434322,0.052283,0.562919
BRICKFACE,0.059761,0.48954,0,0,0,0.019608,0.000136,0.014907,0.000224,0.03873,0.050325,0.044183,0.021824,0.967078,0.146985,0.442797,0.047128,0.561508
BRICKFACE,0.099602,0.23431,0,1,0,0.039216,0.001551,0.054658,0.002298,0.139427,0.142857,0.171576,0.102104,0.868313,0.309045,0.271186,0.171576,0.436939
BRICKFACE,0.051793,0.414226,0,0,0,0.067538,0.00934,0.059627,0.000737,0.124968,0.137987,0.142121,0.09431,0.946502,0.228643,0.326271,0.142121,0.368848
BRICKFACE,0.039841,0.405858,0,0,0,0.052288,0.001396,0.031056,0.000687,0.12316,0.138799,0.139912,0.090413,0.967078,0.226131,0.309322,0.139912,0.388756
BRICKFACE,0.334661,0.376569,0,0,0,0.052288,0.002249,0.028571,0.000879,0.148464,0.155032,0.177467,0.111458,0.888889,0.295226,0.273305,0.177467,0.404792
BRICKFACE,0.067729,0.560669,0,0,0,0.015251,0.000032,0.013665,0.00027,0.027369,0.040584,0.02651,0.015588,0.983539,0.111809,0.485169,0.036819,0.600529
BRICKFACE,0.087649,0.1841,0,0,0,0.087146,0.006412,0.039752,0.000566,0.163439,0.158279,0.206186,0.123149,0.794239,0.369347,0.245763,0.206186,0.43507
BRICKFACE,0.776892,0.493724,0,0,0,0.03268,0.000756,0.014907,0.000128,0.044152,0.05763,0.048601,0.0265,0.979424,0.143216,0.436441,0.054492,0.540123
BRICKFACE,0.314741,0.439331,0,0,0,0.058824,0.002851,0.034783,0.00063,0.151304,0.155032,0.182621,0.114575,0.866255,0.307789,0.275424,0.182621,0.407364
BRICKFACE,0.003984,0.138075,0,0,0,0.084967,0.004169,0.053416,0.001103,0.130648,0.126623,0.167158,0.095869,0.814815,0.329146,0.292373,0.167158,0.457681
BRICKFACE,0.474104,0.523013,0,0,0,0.023965,0.00073,0.02236,0.000321,0.043635,0.056818,0.047865,0.0265,0.977366,0.14196,0.440678,0.053019,0.529541
