# data format:
# time voltage
# (msecs) (mvolts)
0 2038
101 2058
200 2032
301 2035
400 2048
501 2041
600 2045
700 2035
801 2038
900 2041
1001 2025
1100 2048
1201 2038
1300 2045
1401 2061
1501 2032
1600 2038
1701 2038
1800 2048
1901 2032
2000 2045
2101 2038
2200 2064
2300 2029
2401 2035
2500 2048
2601 2038
2700 2041
2801 2035
2900 2038
3001 2041
3101 2058
3200 2048
3301 2038
3400 2041
3501 2054
3600 2032
3701 2038
3800 2038
3900 2048
4001 2032
4100 2041
4201 2038
4300 2061
4401 2029
4500 2038
4601 2048
4701 2041
4800 2058
4901 2035
5000 2041
5101 2041
5200 2025
5301 2048
5400 2038
5500 2041
5601 2025
5700 2035
5801 2038
5900 2038
6001 2048
6100 2029
6201 2045
6301 2038
6400 2064
6501 2032
6600 2038
6701 2048
6800 2070
6901 2045
7000 2035
7100 2038
7201 2041
7300 2025
7401 2048
7500 2038
7601 2041
7700 2054
7801 2032
7901 2038
8000 2038
8101 2045
8200 2032
8301 2041
8400 2041
8501 2064
8600 2035
8700 2035
8801 2045
8900 2070
9001 2041
9100 2035
9201 2038
9300 2045
9401 2012
9501 2029
9600 2022
9701 2022
9800 2009
9901 2019
10000 2006
10101 1987
10200 1974
10300 1964
10401 1983
10500 1987
10601 1890
10700 1670
10801 1587
10900 1448
11001 1354
11101 1325
11200 1267
11301 1248
11400 1254
11501 1206
11600 1196
11701 1209
11800 1203
11900 1206
12001 1190
12100 1193
12201 1235
12300 1196
12401 1190
12500 1190
12601 1232
12701 1187
12800 1193
12901 1190
13000 1196
13101 1187
13200 1190
13301 1212
13400 1267
13500 1209
13601 1209
13700 1235
13801 1251
13900 1222
14001 1229
14100 1232
14201 1261
14301 1225
14400 1235
14501 1229
14600 1251
14701 1225
14800 1229
14901 1232
15000 1287
15100 1235
15201 1229
15300 1229
15401 1254
15500 1222
15601 1229
15700 1229
15801 1235
15901 1225
16000 1229
16101 1229
16200 1248
16301 1225
16400 1229
16501 1235
16600 1248
16700 1222
16801 1229
16900 1229
17001 1287
17100 1222
17201 1235
17300 1229
17401 1261
17501 1225
17600 1229
17701 1232
17800 1267
17901 1235
18000 1229
18101 1229
18200 1258
18300 1222
18401 1232
18500 1229
18601 1235
18700 1225
18801 1229
18900 1232
19001 1248
19101 1225
19200 1229
19301 1235
19400 1254
19501 1225
19600 1229
19701 1229
19800 1258
19900 1206
20001 1196
20100 1193
20201 1190
20300 1112
20401 1077
20500 1045
20601 1025
20701 987
20800 945
20901 925
21000 948
21101 903
21200 909
21301 887
21400 874
21500 864
21601 848
21700 848
21801 838
21900 867
22001 867
22100 874
22201 883
22301 864
22400 867
22501 867
22600 845
22701 845
22800 851
22901 867
23000 858
23100 864
23201 867
23300 854
23401 841
23500 851
23601 848
23700 867
23801 838
23901 845
24000 874
24101 867
24200 854
24301 864
24400 848
24501 848
24600 838
24700 854
24801 867
24900 870
25001 838
25100 864
25201 848
25300 848
25401 861
25501 845
25600 870
25701 867
25800 861
25901 867
26000 867
26101 870
26200 861
26300 870
26401 867
26500 867
26601 858
26700 867
26801 870
26900 867
27001 874
27101 867
27200 867
27301 890
27400 861
27501 870
27600 867
27701 874
27800 861
27900 867
28001 870
28100 916
28201 867
28300 867
28401 874
28500 893
28601 861
28701 867
28800 867
28901 896
29000 870
29101 874
29200 867
29301 938
29400 864
29500 867
29601 874
29700 903
29801 870
29900 867
30001 867
30100 890
30201 864
30301 854
30400 829
30501 774
30600 748
30701 712
30800 693
30901 661
31000 658
31100 651
31201 638
31300 651
31401 632
31500 632
31601 635
31700 638
31801 629
31901 638
32000 616
32101 622
32200 632
32301 612
32400 638
32501 625
32600 616
32700 612
32801 612
32900 632
33001 612
33100 638
33201 632
33300 635
33401 612
33501 632
33600 635
33701 625
33800 638
33901 632
34000 635
34101 625
34200 632
34300 635
34401 664
34500 638
34601 632
34700 635
34801 632
34900 629
35001 632
35101 635
35200 638
35301 629
35400 635
35501 632
35600 651
35701 625
35800 632
35900 638
36001 651
36100 635
36201 632
36300 632
36401 661
36500 629
36601 638
36701 632
36800 616
36901 629
37000 632
37101 635
37200 664
37301 619
37400 632
37500 632
37601 667
37700 629
37801 616
37900 635
38001 619
38100 609
38201 635
38301 616
38400 625
38501 629
38600 632
38701 619
38800 603
38901 635
39000 612
39100 612
39201 635
39300 632
39401 638
39500 635
39601 635
39700 629
39801 632
39901 635
40000 603
40101 603
40200 574
40301 558
40400 525
40501 493
40600 477
40700 477
40801 483
40900 454
41001 461
41100 458
41201 451
41300 458
41401 458
41501 464
41600 448
41701 441
41800 438
41901 438
42000 432
42101 435
42200 445
42300 458
42401 441
42500 435
42601 438
42700 480
42801 451
42900 464
43001 458
43101 458
43200 451
43301 458
43400 461
43501 477
43600 464
43701 458
43800 458
43900 480
44001 454
44100 458
44201 458
44300 464
44401 451
44500 477
44601 477
44701 500
44800 454
44901 458
45000 461
45101 480
45200 454
45301 458
45400 477
45500 500
45601 454
45700 483
45801 477
45900 467
46001 474
46100 477
46201 480
46301 529
46400 483
46501 477
46600 474
46701 467
46800 474
46901 477
47000 477
47100 480
