@relation SegmentationTrain-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0

@attribute region_centroid_col {BRICKFACE,SKY,FOLIAGE,CEMENT,WINDOW,PATH,GRASS}
@attribute region_centroid_row numeric
@attribute region_pixel_count numeric
@attribute short_line_density_5 numeric
@attribute short_line_density_2 numeric
@attribute vedge_mean numeric
@attribute vegde_sd numeric
@attribute hedge_mean numeric
@attribute hedge_sd numeric
@attribute intensity_mean numeric
@attribute rawred_mean numeric
@attribute rawblue_mean numeric
@attribute rawgreen_mean numeric
@attribute exred_mean numeric
@attribute exblue_mean numeric
@attribute exgreen_mean numeric
@attribute value_mean numeric
@attribute saturatoin_mean numeric
@attribute hue_mean numeric

@data
BRICKFACE,0.10757,-0.046025,0,-1,-1,-0.978213,-0.99978,-0.970186,-0.999551,-0.913762,-0.892857,-0.89838,-0.950117,0.91358,-0.680905,-0.135593,-0.896907,0.09127
BRICKFACE,0.49004,0.020921,0,-1,-1,-0.973856,-0.999069,-0.97764,-0.999888,-0.907049,-0.878247,-0.896907,-0.94544,0.971193,-0.70603,-0.152542,-0.888071,0.07716
BRICKFACE,-0.171315,0.07113,0,-1,-1,-0.978214,-0.999625,-0.962733,-0.999247,-0.914795,-0.88961,-0.904271,-0.950117,0.946502,-0.70603,-0.127119,-0.899853,0.065256
BRICKFACE,-0.737052,0.054393,0,-1,-1,-0.960784,-0.999418,-0.950311,-0.999316,-0.918409,-0.886364,-0.91458,-0.953235,1,-0.741206,-0.122881,-0.896907,0.147266
BRICKFACE,-0.697211,-0.16318,0,-1,-1,-0.943355,-0.998694,-0.960248,-0.99938,-0.915828,-0.897727,-0.89838,-0.951676,0.893004,-0.670854,-0.131356,-0.895434,0.125838
BRICKFACE,-0.880478,-0.020921,0,-1,-1,-0.960784,-0.999729,-0.970186,-0.999551,-0.922541,-0.899351,-0.911635,-0.956352,0.934156,-0.70603,-0.114407,-0.905744,0.123016
BRICKFACE,-0.800797,-0.531381,0,1,-1,-0.921569,-0.996897,-0.890683,-0.995405,-0.721146,-0.714286,-0.656848,-0.795791,0.736626,-0.38191,-0.457627,-0.656848,-0.126122
BRICKFACE,-0.896414,-0.171548,0,-1,-1,-0.864924,-0.98132,-0.880745,-0.998525,-0.750065,-0.724026,-0.715758,-0.81138,0.893004,-0.542714,-0.347458,-0.715758,-0.262303
BRICKFACE,-0.920319,-0.188285,0,-1,-1,-0.895425,-0.997208,-0.937888,-0.998627,-0.753679,-0.722403,-0.720177,-0.819174,0.934156,-0.547739,-0.381356,-0.720177,-0.222487
BRICKFACE,-0.330677,-0.246862,0,-1,-1,-0.895425,-0.995501,-0.942857,-0.998242,-0.703073,-0.689935,-0.645066,-0.777085,0.777778,-0.409548,-0.45339,-0.645066,-0.190416
BRICKFACE,-0.864542,0.121339,0,-1,-1,-0.969499,-0.999935,-0.972671,-0.99946,-0.945262,-0.918831,-0.946981,-0.968823,0.967078,-0.776382,-0.029661,-0.926362,0.201058
BRICKFACE,-0.824701,-0.631799,0,-1,-1,-0.825708,-0.987176,-0.920497,-0.998867,-0.673122,-0.683442,-0.587629,-0.753702,0.588477,-0.261307,-0.508475,-0.587629,-0.12986
BRICKFACE,0.553785,-0.012552,0,-1,-1,-0.934641,-0.998487,-0.970186,-0.999744,-0.911696,-0.88474,-0.902798,-0.946999,0.958848,-0.713568,-0.127119,-0.891016,0.080247
BRICKFACE,-0.370518,-0.121339,0,-1,-1,-0.882353,-0.994299,-0.930435,-0.998739,-0.697392,-0.689935,-0.634757,-0.77085,0.73251,-0.384422,-0.449153,-0.634757,-0.185272
BRICKFACE,-0.992032,-0.723849,0,-1,-1,-0.830065,-0.991662,-0.893168,-0.997793,-0.738704,-0.746753,-0.665685,-0.808262,0.62963,-0.341709,-0.415254,-0.665685,-0.084637
BRICKFACE,-0.051793,0.046025,0,-1,-1,-0.95207,-0.998539,-0.95528,-0.999359,-0.912729,-0.886364,-0.904271,-0.946999,0.954733,-0.71608,-0.118644,-0.893962,0.059083
BRICKFACE,0.155378,-0.054393,0,-1,-1,-0.960784,-0.999418,-0.982609,-0.999845,-0.915828,-0.891234,-0.902798,-0.953235,0.942387,-0.693467,-0.144068,-0.89838,0.126984
BRICKFACE,-0.824701,-0.380753,0,-1,-1,-0.88671,-0.996329,-0.920497,-0.998611,-0.749548,-0.724026,-0.709867,-0.816056,0.888889,-0.515075,-0.389831,-0.709867,-0.200497
BRICKFACE,0.091633,-0.121339,0,-1,-1,-0.95207,-0.99947,-0.980124,-0.999701,-0.909631,-0.88961,-0.891016,-0.948558,0.90535,-0.663317,-0.15678,-0.889543,0.118342
BRICKFACE,0.816733,-0.054393,0,-1,-1,-0.930283,-0.999741,-0.960248,-0.999508,-0.917893,-0.896104,-0.905744,-0.951676,0.921811,-0.698492,-0.114407,-0.899853,0.091711
BRICKFACE,-0.832669,-0.121339,0,-1,-1,-0.969499,-0.999625,-0.985093,-0.999808,-0.921508,-0.900974,-0.907216,-0.956352,0.91358,-0.688442,-0.122881,-0.902798,0.150794
BRICKFACE,-0.043825,-0.589958,0,-1,-1,-0.821351,-0.991869,-0.870807,-0.995854,-0.627162,-0.63961,-0.533137,-0.714731,0.555556,-0.20603,-0.567797,-0.533137,-0.1554
BRICKFACE,-0.74502,0.154812,0,-1,-1,-0.956427,-0.999121,-0.967702,-0.999781,-0.92409,-0.939935,-0.885125,-0.950117,0.63786,-0.562814,-0.050847,-0.885125,0.156678
BRICKFACE,-0.370518,-0.297071,0,-1,-1,-0.904139,-0.996484,-0.957764,-0.999204,-0.701523,-0.688312,-0.646539,-0.772408,0.777778,-0.424623,-0.427966,-0.646539,-0.219128
BRICKFACE,-0.243028,-0.389121,0,-1,-1,-0.882353,-0.99554,-0.92795,-0.996703,-0.667441,-0.655844,-0.602356,-0.747467,0.753086,-0.364322,-0.504237,-0.602356,-0.202418
BRICKFACE,0.14741,-0.238494,0,-1,-1,-0.930283,-0.99788,-0.88323,-0.997857,-0.678286,-0.676948,-0.605302,-0.75682,0.679012,-0.326633,-0.491525,-0.605302,-0.164475
BRICKFACE,-0.864542,0.062762,0,-1,-1,-0.930283,-0.998035,-0.962733,-0.999567,-0.919959,-0.892857,-0.913108,-0.953235,0.962963,-0.726131,-0.11017,-0.902798,0.087742
BRICKFACE,0.091633,0.020921,0,-1,-1,-0.947712,-0.998449,-0.947826,-0.999695,-0.910147,-0.886364,-0.895434,-0.948558,0.934156,-0.683417,-0.152542,-0.891016,0.116402
BRICKFACE,-0.043825,-0.146444,0,-1,-1,-0.864924,-0.994661,-0.868323,-0.997793,-0.717532,-0.707792,-0.662739,-0.784879,0.757202,-0.429648,-0.398305,-0.662739,-0.206822
